Year,Economy,Region,Scenario,BEV_stocks,ICE_stocks
2020,01_AUS,Oceania,Carbon Neutral,39447.0,13705773.0
2020,01_AUS,Oceania,Reference,39447.0,13705773.0
2020,02_BD,Southeast Asia,Carbon Neutral,276.0,129162.0
2020,02_BD,Southeast Asia,Reference,276.0,129162.0
2020,03_CDA,Other Americas,Carbon Neutral,71887.0,12846804.0
2020,03_CDA,Other Americas,Reference,71887.0,12846804.0
2020,04_CHL,Other Americas,Carbon Neutral,785.0,4573107.999999999
2020,04_CHL,Other Americas,Reference,8484.0,4564067.0
2020,05_PRC,China,Carbon Neutral,11150000.0,150918991.0
2020,05_PRC,China,Reference,11150000.0,150918991.0
2020,06_HKC,Northeast Asia,Carbon Neutral,4229.0,580090.0
2020,06_HKC,Northeast Asia,Reference,5744.0,578617.0
2020,07_INA,Southeast Asia,Carbon Neutral,27725.0,16058730.0
2020,07_INA,Southeast Asia,Reference,27725.0,16058730.0
2020,08_JPN,Northeast Asia,Carbon Neutral,223386.0,55706674.0
2020,08_JPN,Northeast Asia,Reference,617429.0,55324275.0
2020,09_ROK,Northeast Asia,Carbon Neutral,100328.0,16407558.000000002
2020,09_ROK,Northeast Asia,Reference,90894.0,16092306.0
2020,10_MAS,Southeast Asia,Carbon Neutral,3703.0,11895159.000000002
2020,10_MAS,Southeast Asia,Reference,3703.0,11895159.000000002
2020,11_MEX,Other Americas,Carbon Neutral,51280.0,27913232.0
2020,11_MEX,Other Americas,Reference,51280.0,27913232.0
2020,12_NZ,Oceania,Carbon Neutral,21997.0,3094271.9999999995
2020,12_NZ,Oceania,Reference,21997.0,3094271.9999999995
2020,13_PNG,Oceania,Carbon Neutral,0.0,107174.0
2020,13_PNG,Oceania,Reference,0.0,107174.0
2020,14_PE,Other Americas,Carbon Neutral,5368.0,1930927.0
2020,14_PE,Other Americas,Reference,5368.0,1930927.0
2020,15_RP,Southeast Asia,Carbon Neutral,2048.0,1001352.0
2020,15_RP,Southeast Asia,Reference,2048.0,1001352.0
2020,16_RUS,Russia,Carbon Neutral,14143.0,45837769.0
2020,16_RUS,Russia,Reference,14143.0,45837769.0
2020,17_SIN,Southeast Asia,Carbon Neutral,6440.0,540317.0
2020,17_SIN,Southeast Asia,Reference,6440.0,540317.0
2020,18_CT,Northeast Asia,Carbon Neutral,21655.0,6665343.0
2020,18_CT,Northeast Asia,Reference,21655.0,6665343.0
2020,19_THA,Southeast Asia,Carbon Neutral,73704.0,10202576.0
2020,19_THA,Southeast Asia,Reference,73704.0,10202576.0
2020,20_USA,USA,Carbon Neutral,936428.0,117086230.0
2020,20_USA,USA,Reference,946407.0,117072087.0
2020,21_VN,Southeast Asia,Carbon Neutral,2694.0,3780230.0
2020,21_VN,Southeast Asia,Reference,2694.0,3780230.0
2021,01_AUS,Oceania,Carbon Neutral,58506.0,13655674.999999998
2021,01_AUS,Oceania,Reference,58506.0,13655674.999999998
2021,02_BD,Southeast Asia,Carbon Neutral,384.0,128981.99999999999
2021,02_BD,Southeast Asia,Reference,384.0,128981.99999999999
2021,03_CDA,Other Americas,Carbon Neutral,104381.0,12763772.0
2021,03_CDA,Other Americas,Reference,104381.0,12763772.0
2021,04_CHL,Other Americas,Carbon Neutral,1152.0,4570738.0
2021,04_CHL,Other Americas,Reference,12216.0,4558398.0
2021,05_PRC,China,Carbon Neutral,11365211.0,151035353.0
2021,05_PRC,China,Reference,11365211.0,151035353.0
2021,06_HKC,Northeast Asia,Carbon Neutral,4379.0,581635.0
2021,06_HKC,Northeast Asia,Reference,6530.0,579553.0
2021,07_INA,Southeast Asia,Carbon Neutral,36177.0,16016224.999999998
2021,07_INA,Southeast Asia,Reference,36177.0,16016224.999999998
2021,08_JPN,Northeast Asia,Carbon Neutral,314355.0,55421704.99999999
2021,08_JPN,Northeast Asia,Reference,866315.0,54887921.99999999
2021,09_ROK,Northeast Asia,Carbon Neutral,142912.0,16469755.0
2021,09_ROK,Northeast Asia,Reference,128538.99999999999,16010290.000000002
2021,10_MAS,Southeast Asia,Carbon Neutral,5638.0,11898337.0
2021,10_MAS,Southeast Asia,Reference,5638.0,11898337.0
2021,11_MEX,Other Americas,Carbon Neutral,73353.0,27845817.0
2021,11_MEX,Other Americas,Reference,73353.0,27845817.0
2021,12_NZ,Oceania,Carbon Neutral,31279.0,3074828.0
2021,12_NZ,Oceania,Reference,31279.0,3074828.0
2021,13_PNG,Oceania,Carbon Neutral,0.0,107174.0
2021,13_PNG,Oceania,Reference,0.0,107174.0
2021,14_PE,Other Americas,Carbon Neutral,7388.0,1947141.0
2021,14_PE,Other Americas,Reference,7483.0,1946402.9999999998
2021,15_RP,Southeast Asia,Carbon Neutral,2962.0,998593.0000000001
2021,15_RP,Southeast Asia,Reference,2962.0,998593.0000000001
2021,16_RUS,Russia,Carbon Neutral,20076.0,45790664.0
2021,16_RUS,Russia,Reference,20076.0,45790664.0
2021,17_SIN,Southeast Asia,Carbon Neutral,9756.0,534566.9999999999
2021,17_SIN,Southeast Asia,Reference,9756.0,534566.9999999999
2021,18_CT,Northeast Asia,Carbon Neutral,31330.999999999996,6644767.0
2021,18_CT,Northeast Asia,Reference,31330.999999999996,6644767.0
2021,19_THA,Southeast Asia,Carbon Neutral,92061.0,10201678.000000002
2021,19_THA,Southeast Asia,Reference,92061.0,10201678.000000002
2021,20_USA,USA,Carbon Neutral,1183377.0,116751163.0
2021,20_USA,USA,Reference,1202478.0,116723820.0
2021,21_VN,Southeast Asia,Carbon Neutral,3581.0,3779480.0
2021,21_VN,Southeast Asia,Reference,3581.0,3779480.0
2022,01_AUS,Oceania,Carbon Neutral,80062.0,13767388.0
2022,01_AUS,Oceania,Reference,79980.0,13766682.0
2022,02_BD,Southeast Asia,Carbon Neutral,613.0,135007.0
2022,02_BD,Southeast Asia,Reference,609.0,135002.99999999997
2022,03_CDA,Other Americas,Carbon Neutral,138046.0,12731527.0
2022,03_CDA,Other Americas,Reference,138046.0,12731527.0
2022,04_CHL,Other Americas,Carbon Neutral,1802.0,4803724.0
2022,04_CHL,Other Americas,Reference,17974.0,4784494.0
2022,05_PRC,China,Carbon Neutral,12546857.0,157967368.0
2022,05_PRC,China,Reference,12546857.0,157967368.0
2022,06_HKC,Northeast Asia,Carbon Neutral,4882.0,600687.0
2022,06_HKC,Northeast Asia,Reference,7979.999999999999,597648.0
2022,07_INA,Southeast Asia,Carbon Neutral,55496.0,16870741.0
2022,07_INA,Southeast Asia,Reference,53501.0,16869462.0
2022,08_JPN,Northeast Asia,Carbon Neutral,410183.0,55126617.0
2022,08_JPN,Northeast Asia,Reference,1096271.0,54465149.0
2022,09_ROK,Northeast Asia,Carbon Neutral,199063.0,16782826.999999996
2022,09_ROK,Northeast Asia,Reference,177186.0,16187684.0
2022,10_MAS,Southeast Asia,Carbon Neutral,10524.0,12628578.000000002
2022,10_MAS,Southeast Asia,Reference,10451.0,12628406.0
2022,11_MEX,Other Americas,Carbon Neutral,105611.0,28349617.000000004
2022,11_MEX,Other Americas,Reference,105246.0,28348446.0
2022,12_NZ,Oceania,Carbon Neutral,41054.0,3074751.0
2022,12_NZ,Oceania,Reference,41054.0,3074751.0
2022,13_PNG,Oceania,Carbon Neutral,0.0,110422.0
2022,13_PNG,Oceania,Reference,0.0,110422.0
2022,14_PE,Other Americas,Carbon Neutral,11073.0,2047274.0000000002
2022,14_PE,Other Americas,Reference,11203.0,2045207.0
2022,15_RP,Southeast Asia,Carbon Neutral,4263.0,1015636.0
2022,15_RP,Southeast Asia,Reference,4254.0,1015582.0
2022,16_RUS,Russia,Carbon Neutral,32336.999999999996,47706491.0
2022,16_RUS,Russia,Reference,32096.0,47701064.0
2022,17_SIN,Southeast Asia,Carbon Neutral,13436.0,531641.0
2022,17_SIN,Southeast Asia,Reference,13436.0,531641.0
2022,18_CT,Northeast Asia,Carbon Neutral,43403.0,6702542.0
2022,18_CT,Northeast Asia,Reference,43265.0,6702304.0
2022,19_THA,Southeast Asia,Carbon Neutral,132434.0,10832853.0
2022,19_THA,Southeast Asia,Reference,131580.0,10833530.0
2022,20_USA,USA,Carbon Neutral,1470468.0,117458627.0
2022,20_USA,USA,Reference,1499050.0,117415907.0
2022,21_VN,Southeast Asia,Carbon Neutral,6045.0,4051468.0
2022,21_VN,Southeast Asia,Reference,6005.0,4051508.9999999995
2023,01_AUS,Oceania,Carbon Neutral,104832.0,13871668.0
2023,01_AUS,Oceania,Reference,102566.0,13867685.0
2023,02_BD,Southeast Asia,Carbon Neutral,957.0,141219.99999999997
2023,02_BD,Southeast Asia,Reference,877.0,141272.0
2023,03_CDA,Other Americas,Carbon Neutral,171834.0,12643787.0
2023,03_CDA,Other Americas,Reference,171834.0,12643787.0
2023,04_CHL,Other Americas,Carbon Neutral,2962.0,5011696.000000001
2023,04_CHL,Other Americas,Reference,24917.0,4984722.0
2023,05_PRC,China,Carbon Neutral,14317384.0,164516421.0
2023,05_PRC,China,Reference,13982744.0,164820238.00000003
2023,06_HKC,Northeast Asia,Carbon Neutral,5651.0,613543.0000000001
2023,06_HKC,Northeast Asia,Reference,9419.0,609704.0
2023,07_INA,Southeast Asia,Carbon Neutral,83931.0,17624149.0
2023,07_INA,Southeast Asia,Reference,71080.0,17628391.999999996
2023,08_JPN,Northeast Asia,Carbon Neutral,538971.0,54822981.0
2023,08_JPN,Northeast Asia,Reference,1309936.0,54053703.99999999
2023,09_ROK,Northeast Asia,Carbon Neutral,280942.0,17063444.0
2023,09_ROK,Northeast Asia,Reference,233273.0,16381490.0
2023,10_MAS,Southeast Asia,Carbon Neutral,18416.0,13318673.0
2023,10_MAS,Southeast Asia,Reference,16992.0,13321845.0
2023,11_MEX,Other Americas,Carbon Neutral,148401.0,28857874.000000004
2023,11_MEX,Other Americas,Reference,141567.0,28856538.0
2023,12_NZ,Oceania,Carbon Neutral,51841.0,3073740.0
2023,12_NZ,Oceania,Reference,51434.0,3074224.0
2023,13_PNG,Oceania,Carbon Neutral,0.0,113849.0
2023,13_PNG,Oceania,Reference,0.0,113849.0
2023,14_PE,Other Americas,Carbon Neutral,16243.0,2145537.9999999995
2023,14_PE,Other Americas,Reference,15348.0,2143123.0
2023,15_RP,Southeast Asia,Carbon Neutral,5908.0,1033552.0
2023,15_RP,Southeast Asia,Reference,5719.0,1033400.0000000001
2023,16_RUS,Russia,Carbon Neutral,48207.0,48819079.0
2023,16_RUS,Russia,Reference,43910.0,48805910.00000001
2023,17_SIN,Southeast Asia,Carbon Neutral,17542.0,528088.0
2023,17_SIN,Southeast Asia,Reference,17380.0,528405.0
2023,18_CT,Northeast Asia,Carbon Neutral,59340.0,6760556.0
2023,18_CT,Northeast Asia,Reference,56990.0,6759808.0
2023,19_THA,Southeast Asia,Carbon Neutral,184932.0,11412063.0
2023,19_THA,Southeast Asia,Reference,172723.0,11423745.0
2023,20_USA,USA,Carbon Neutral,1825855.0,118039912.0
2023,20_USA,USA,Reference,1822144.0,118017823.0
2023,21_VN,Southeast Asia,Carbon Neutral,10114.0,4326498.0
2023,21_VN,Southeast Asia,Reference,9320.0,4327293.999999999
2024,01_AUS,Oceania,Carbon Neutral,150172.0,13963013.0
2024,01_AUS,Oceania,Reference,129397.00000000001,13980443.0
2024,02_BD,Southeast Asia,Carbon Neutral,1649.0,147416.0
2024,02_BD,Southeast Asia,Reference,1203.0,147835.0
2024,03_CDA,Other Americas,Carbon Neutral,237416.0,12537415.0
2024,03_CDA,Other Americas,Reference,213199.0,12560310.999999998
2024,04_CHL,Other Americas,Carbon Neutral,6555.0,5201403.0
2024,04_CHL,Other Americas,Reference,34841.0,5167497.0
2024,05_PRC,China,Carbon Neutral,17475129.0,169718257.0
2024,05_PRC,China,Reference,15626872.0,171400066.0
2024,06_HKC,Northeast Asia,Carbon Neutral,7574.0,624213.9999999999
2024,06_HKC,Northeast Asia,Reference,11023.0,620703.0
2024,07_INA,Southeast Asia,Carbon Neutral,138609.0,18340280.0
2024,07_INA,Southeast Asia,Reference,89859.0,18379934.0
2024,08_JPN,Northeast Asia,Carbon Neutral,765240.0,54443082.00000001
2024,08_JPN,Northeast Asia,Reference,1515727.0,53702633.99999999
2024,09_ROK,Northeast Asia,Carbon Neutral,425051.0,17247822.0
2024,09_ROK,Northeast Asia,Reference,305551.0,16558111.0
2024,10_MAS,Southeast Asia,Carbon Neutral,36357.0,13946488.0
2024,10_MAS,Southeast Asia,Reference,27684.0,13962980.0
2024,11_MEX,Other Americas,Carbon Neutral,234701.0,29337798.0
2024,11_MEX,Other Americas,Reference,189228.0,29374637.0
2024,12_NZ,Oceania,Carbon Neutral,72033.0,3065003.0
2024,12_NZ,Oceania,Reference,63811.00000000001,3073204.0
2024,13_PNG,Oceania,Carbon Neutral,0.0,117113.0
2024,13_PNG,Oceania,Reference,0.0,117113.0
2024,14_PE,Other Americas,Carbon Neutral,25624.0,2223725.0
2024,14_PE,Other Americas,Reference,20305.0,2225627.0000000005
2024,15_RP,Southeast Asia,Carbon Neutral,9913.0,1070781.0
2024,15_RP,Southeast Asia,Reference,7613.0,1052287.0
2024,16_RUS,Russia,Carbon Neutral,89893.0,49816695.0
2024,16_RUS,Russia,Reference,57868.0,49831869.0
2024,17_SIN,Southeast Asia,Carbon Neutral,26465.0,520406.99999999994
2024,17_SIN,Southeast Asia,Reference,21630.0,525516.0
2024,18_CT,Northeast Asia,Carbon Neutral,90823.0,6807419.0
2024,18_CT,Northeast Asia,Reference,75721.0,6819331.999999999
2024,19_THA,Southeast Asia,Carbon Neutral,279173.0,11954515.0
2024,19_THA,Southeast Asia,Reference,220274.0,12011081.999999998
2024,20_USA,USA,Carbon Neutral,2474461.0,118218717.0
2024,20_USA,USA,Reference,2223375.0,118440125.0
2024,21_VN,Southeast Asia,Carbon Neutral,19307.0,4596667.0
2024,21_VN,Southeast Asia,Reference,14657.0,4601319.999999999
2025,01_AUS,Oceania,Carbon Neutral,240711.0,14010322.0
2025,01_AUS,Oceania,Reference,163185.0,14089962.0
2025,02_BD,Southeast Asia,Carbon Neutral,3116.0,153107.00000000003
2025,02_BD,Southeast Asia,Reference,1598.0,154591.99999999997
2025,03_CDA,Other Americas,Carbon Neutral,363993.0,12376674.000000002
2025,03_CDA,Other Americas,Reference,267150.0,12468546.0
2025,04_CHL,Other Americas,Carbon Neutral,18361.0,5339115.000000001
2025,04_CHL,Other Americas,Reference,50480.0,5327620.000000001
2025,05_PRC,China,Carbon Neutral,22680201.0,172863023.0
2025,05_PRC,China,Reference,17519323.0,177578286.0
2025,06_HKC,Northeast Asia,Carbon Neutral,12435.0,631792.9999999999
2025,06_HKC,Northeast Asia,Reference,12991.0,634353.0
2025,07_INA,Southeast Asia,Carbon Neutral,236498.0,18817441.0
2025,07_INA,Southeast Asia,Reference,110207.0,19130081.0
2025,08_JPN,Northeast Asia,Carbon Neutral,1205270.0,53864272.0
2025,08_JPN,Northeast Asia,Reference,1721633.0,53369372.0
2025,09_ROK,Northeast Asia,Carbon Neutral,695990.0,17276322.0
2025,09_ROK,Northeast Asia,Reference,405579.0,16711730.0
2025,10_MAS,Southeast Asia,Carbon Neutral,81296.0,14508283.0
2025,10_MAS,Southeast Asia,Reference,46681.0,14554272.0
2025,11_MEX,Other Americas,Carbon Neutral,403891.0,29578134.0
2025,11_MEX,Other Americas,Reference,255991.00000000003,29888913.000000004
2025,12_NZ,Oceania,Carbon Neutral,106614.0,3028745.0
2025,12_NZ,Oceania,Reference,79492.0,3069963.0
2025,13_PNG,Oceania,Carbon Neutral,3.0,120919.0
2025,13_PNG,Oceania,Reference,1.0,120921.0
2025,14_PE,Other Americas,Carbon Neutral,43624.0,2277383.0
2025,14_PE,Other Americas,Reference,27094.0,2305227.0
2025,15_RP,Southeast Asia,Carbon Neutral,17793.0,1106331.0
2025,15_RP,Southeast Asia,Reference,10222.0,1071637.0
2025,16_RUS,Russia,Carbon Neutral,208627.0,50599698.0
2025,16_RUS,Russia,Reference,74126.0,50715344.0
2025,17_SIN,Southeast Asia,Carbon Neutral,38800.0,509377.00000000006
2025,17_SIN,Southeast Asia,Reference,26242.0,522398.99999999994
2025,18_CT,Northeast Asia,Carbon Neutral,157802.0,6823670.0
2025,18_CT,Northeast Asia,Reference,102964.0,6874454.999999999
2025,19_THA,Southeast Asia,Carbon Neutral,419000.0,12239607.0
2025,19_THA,Southeast Asia,Reference,272774.0,12509356.0
2025,20_USA,USA,Carbon Neutral,3607137.0,117261457.0
2025,20_USA,USA,Reference,2756492.0,118695821.0
2025,21_VN,Southeast Asia,Carbon Neutral,41789.0,4859318.0
2025,21_VN,Southeast Asia,Reference,23903.0,4877228.0
2026,01_AUS,Oceania,Carbon Neutral,398329.0,13870152.0
2026,01_AUS,Oceania,Reference,206320.0,14203284.0
2026,02_BD,Southeast Asia,Carbon Neutral,5840.0,157039.99999999997
2026,02_BD,Southeast Asia,Reference,2080.0,161596.0
2026,03_CDA,Other Americas,Carbon Neutral,594982.0,12118637.0
2026,03_CDA,Other Americas,Reference,337851.0,12363759.0
2026,04_CHL,Other Americas,Carbon Neutral,56506.0,5425090.0
2026,04_CHL,Other Americas,Reference,74854.0,5460462.000000001
2026,05_PRC,China,Carbon Neutral,28415697.0,171006884.0
2026,05_PRC,China,Reference,19232979.0,180932030.00000003
2026,06_HKC,Northeast Asia,Carbon Neutral,20156.0,625340.0
2026,06_HKC,Northeast Asia,Reference,14909.0,641572.0
2026,07_INA,Southeast Asia,Carbon Neutral,445228.0,19298002.0
2026,07_INA,Southeast Asia,Reference,132709.0,19902428.999999996
2026,08_JPN,Northeast Asia,Carbon Neutral,2025459.9999999998,52903402.0
2026,08_JPN,Northeast Asia,Reference,1930419.0,53048981.00000001
2026,09_ROK,Northeast Asia,Carbon Neutral,1139679.0,17032305.0
2026,09_ROK,Northeast Asia,Reference,546404.0,16853888.0
2026,10_MAS,Southeast Asia,Carbon Neutral,181360.0,14927554.0
