Scenario,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Reference,World,Max,2035,4764.712270411405,4914807.999999998,23417645984.316128
Reference,World,Max,2036,4737.504085385041,5024956.000000005,23805749578.880096
Reference,World,Max,2037,4710.221357386003,5452262.999999996,25681365628.685463
Reference,World,Max,2038,4683.013172359639,6260903.000000001,29319891219.865982
Reference,World,Max,2039,4655.804987333275,7117682.999999994,33138544009.657238
Reference,World,Max,2040,4628.596802306911,8023414.000000001,37137148383.984505
Reference,World,Max,2041,4601.314074307871,8992207.999999996,41375973229.50382
Reference,World,Max,2042,4574.105889281507,10022940.0,45845988881.91519
Reference,World,Max,2043,4546.897704255143,11132496.000000004,50618320505.02958
Reference,World,Max,2044,4519.689519228779,12293648.999999996,55563476538.37735
Reference,World,Max,2045,4492.4067912297405,13326967.000000004,59870157057.294655
Reference,World,Max,2046,4465.198606203377,14680977.999999994,65553482503.302414
Reference,World,Max,2047,4437.990421177012,15920551.000000011,70655252837.86015
Reference,World,Max,2048,4410.782236150648,17115950.999999996,75494732625.6249
Reference,World,Max,2049,4383.499508151609,18240287.999999993,79956293476.54367
Reference,World,Max,2050,4356.291323125245,19442800.0,84698500937.25952
Reference,World,Min,2018,7078.973400078524,7338312.0,51947715449.47703
Reference,World,Min,2019,7078.973400078524,7338312.0,51947715449.47703
Reference,World,Min,2020,7078.973400078524,772555.9999999998,5468903374.071062
Reference,World,Min,2021,6778.904469287013,896931.9999999991,6080216343.446532
Reference,World,Min,2022,6479.655398962145,1957786.9999999981,12685785104.56789
Reference,World,Min,2023,6180.4063286372775,2244129.0000000005,13869629073.878447
Reference,World,Min,2024,5881.15725831241,2589665.0,15230227111.347607
Reference,World,Min,2025,5581.088327520899,3078289.9999999995,17180208387.724304
Reference,World,Min,2026,5281.839257196031,3234344.9999999995,17083290392.315695
Reference,World,Min,2027,4982.590186871164,3597416.999999999,17924454642.2835
Reference,World,Min,2028,4683.341116546297,4070672.0000000005,19064345549.57375
Reference,World,Min,2029,4383.272185754785,4445857.999999999,19487405713.215393
Reference,World,Min,2030,4084.023115429917,4668888.999999997,19067850599.376457
Reference,World,Min,2031,4029.606745377189,4784693.000000001,19280431187.359024
Reference,World,Min,2032,3975.190375324461,4837610.999999997,19230424686.763733
Reference,World,Min,2033,3920.624919326383,4847453.999999997,19005048947.68834
Reference,World,Min,2034,3866.208549273655,4852981.000000001,18762636631.662613
Reference,World,Min,2035,3811.792179220927,4914807.999999998,18734226696.772438
Reference,World,Min,2036,3757.375809168199,5024956.000000005,18880648116.534615
Reference,World,Min,2037,3702.810353170121,5452262.999999996,20188695884.60637
Reference,World,Min,2038,3648.393983117393,6260903.000000001,22842240834.08164
Reference,World,Min,2039,3593.9776130646646,7117682.999999994,25580793358.890923
Reference,World,Min,2040,3539.5612430119368,8023414.000000001,28399365231.03938
Reference,World,Min,2041,3484.9957870138587,8992207.999999996,31337806995.952305
Reference,World,Min,2042,3430.5794169611304,10022940.0,34384491661.43639
Reference,World,Min,2043,3376.1630469084025,11132496.000000004,37585121615.05562
Reference,World,Min,2044,3321.746676855674,12293648.999999996,40836387712.18007
Reference,World,Min,2045,3267.1812208575966,13326967.000000004,43541616313.388916
Reference,World,Min,2046,3212.7648508048683,14680977.999999994,47166530093.83954
Reference,World,Min,2047,3158.3484807521404,15920551.000000011,50282648063.587006
Reference,World,Min,2048,3103.932110699412,17115950.999999996,53126749914.05769
Reference,World,Min,2049,3049.3666547013345,18240287.999999993,55621325999.34887
Reference,World,Min,2050,2994.950284648606,19442800.0,58230219394.36592
