Scenario,Region,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Carbon Neutral,China,China,Max,2018,5946.805951935694,6539145.0,38887026406.57053
Carbon Neutral,China,China,Max,2019,5946.805951935694,6539145.0,38887026406.57053
Carbon Neutral,China,China,Max,2020,5946.805951935694,70176.0,417323054.48303926
Carbon Neutral,China,China,Max,2021,5696.945892423759,215211.0,1226045422.4544096
Carbon Neutral,China,China,Max,2022,5447.768510670054,1181645.9999999988,6437333869.55922
Carbon Neutral,China,China,Max,2023,5198.591128916349,1770527.0000000014,9204245955.706882
Carbon Neutral,China,China,Max,2024,4949.413747162643,3157744.9999999986,15628986513.034092
Carbon Neutral,China,China,Max,2025,4699.5536876507085,5205072.000000001,24461515312.087452
Carbon Neutral,China,China,Max,2026,4450.376305897003,5735496.000000001,25525115500.967037
Carbon Neutral,China,China,Max,2027,4201.198924143297,7610523.000000001,31973321039.76782
Carbon Neutral,China,China,Max,2028,3952.021542389592,8898990.999999994,35169004137.531075
Carbon Neutral,China,China,Max,2029,3702.161482877657,9473034.000000006,35070701600.79048
Carbon Neutral,China,China,Max,2030,3452.9841011239514,9516036.999999996,32858724466.70725
Carbon Neutral,China,China,Max,2031,3433.813986333317,9276955.0,31855337829.584797
Carbon Neutral,China,China,Max,2032,3414.643871542683,8929400.999999998,30490724401.197098
Carbon Neutral,China,China,Max,2033,3395.421235889609,8582177.999999998,29140109431.384605
Carbon Neutral,China,China,Max,2034,3376.251121098974,8654024.000000007,29218158232.017452
Carbon Neutral,China,China,Max,2035,3357.0810063083404,8809382.0,29573808989.51458
Carbon Neutral,China,China,Max,2036,3337.9108915177067,9060164.999999998,30242023432.447517
Carbon Neutral,China,China,Max,2037,3318.688255864632,8305363.0,27562910648.79265
Carbon Neutral,China,China,Max,2038,3299.518141073998,7618468.999999991,25137276672.70985
Carbon Neutral,China,China,Max,2039,3280.348026283364,6993367.0000000065,22940677635.525234
Carbon Neutral,China,China,Max,2040,3261.17791149273,6424495.000000007,20951421186.49551
Carbon Neutral,China,China,Max,2041,3241.9552758396558,5906791.999999996,19149555487.687458
Carbon Neutral,China,China,Max,2042,3222.7851610490216,5435646.999999989,17517922492.300594
