Scenario,Region,Battery_cost_Region,Battery_cost_Measure,Year,Battery_cost,Sales,Total_cost
Carbon Neutral,China,China,Max,2043,3203.615046258388,5006871.000000018,16040087270.274837
Carbon Neutral,China,China,Max,2044,3184.444931467753,4616647.0,14701458139.525808
Carbon Neutral,China,China,Max,2045,3165.222295814679,4261502.999999977,13488604309.281069
Carbon Neutral,China,China,Max,2046,3146.052181024045,3938281.0000000177,12390037529.535612
Carbon Neutral,China,China,Max,2047,3126.8820662334106,3644105.9999999935,11394689698.853548
Carbon Neutral,China,China,Max,2048,3107.7119514427764,3376360.0000000056,10492754324.37335
Carbon Neutral,China,China,Max,2049,3088.4893157897022,3132664.000000005,9675199293.959047
Carbon Neutral,China,China,Max,2050,3069.319200999068,2910850.99999998,8934330865.547277
Carbon Neutral,China,China,Min,2018,4987.643701623485,6539145.0,32614925373.252705
Carbon Neutral,China,China,Min,2019,4987.643701623485,6539145.0,32614925373.252705
Carbon Neutral,China,China,Min,2020,4987.643701623485,70176.0,350012884.4051297
Carbon Neutral,China,China,Min,2021,4776.2236512672325,215211.0,1027895868.2128724
Carbon Neutral,China,China,Min,2022,4565.381251321789,1181645.9999999988,5394664494.099381
Carbon Neutral,China,China,Min,2023,4354.538851376346,1770527.0000000014,7709828608.910814
Carbon Neutral,China,China,Min,2024,4143.696451430904,3157744.9999999986,13084736751.023674
Carbon Neutral,China,China,Min,2025,3932.276401074651,5205072.000000001,20467781791.49444
Carbon Neutral,China,China,Min,2026,3721.434001129208,5735496.000000001,21344269827.74057
Carbon Neutral,China,China,Min,2027,3510.591601183765,7610523.000000001,26717438124.415874
Carbon Neutral,China,China,Min,2028,3299.749201238322,8898990.999999994,29364438444.076996
Carbon Neutral,China,China,Min,2029,3088.3291508820694,9473034.000000006,29255847049.49699
Carbon Neutral,China,China,Min,2030,2877.4867509366263,9516036.999999996,27382270388.92271
Carbon Neutral,China,China,Min,2031,2839.146521355358,9276955.0,26338634517.020195
Carbon Neutral,China,China,Min,2032,2800.80629177409,8929400.999999998,25009522502.573845
Carbon Neutral,China,China,Min,2033,2762.361020467941,8582177.999999998,23707073977.91751
Carbon Neutral,China,China,Min,2034,2724.020790886673,8654024.000000007,23573741300.832268
Carbon Neutral,China,China,Min,2035,2685.6805613054044,8809382.0,23659185994.513725
Carbon Neutral,China,China,Min,2036,2647.3403317241364,9060164.999999998,23985340216.575405
Carbon Neutral,China,China,Min,2037,2608.895060417988,8305363.0,21667820505.67832
Carbon Neutral,China,China,Min,2038,2570.5548308367192,7618468.999999991,19583692291.529766
Carbon Neutral,China,China,Min,2039,2532.2146012554517,6993367.0000000065,17708706029.33805
Carbon Neutral,China,China,Min,2040,2493.874371674183,6424495.000000007,16021883431.448948
Carbon Neutral,China,China,Min,2041,2455.429100368034,5906791.999999996,14503708966.621092
Carbon Neutral,China,China,Min,2042,2417.088870786766,5435646.999999989,13138441869.225447
Carbon Neutral,China,China,Min,2043,2378.7486412054977,5006871.000000018,11910087587.941254
Carbon Neutral,China,China,Min,2044,2340.4084116242293,4616647.0,10804839472.299763
Carbon Neutral,China,China,Min,2045,2301.963140318081,4261502.999999977,9809822828.35487
Carbon Neutral,China,China,Min,2046,2263.6229107368126,3938281.0000000177,8914783100.519526
Carbon Neutral,China,China,Min,2047,2225.282681155544,3644105.9999999935,8109165970.094991
Carbon Neutral,China,China,Min,2048,2186.942451574276,3376360.0000000056,7383905015.797336
Carbon Neutral,China,China,Min,2049,2148.4971802681275,3132664.000000005,6730519770.727485
Carbon Neutral,China,China,Min,2050,2110.156950686859,2910850.99999998,6142352470.063752
Carbon Neutral,China,USA,Max,2018,13159.89631048555,6539145.0,86054470159.23003
Carbon Neutral,China,USA,Max,2019,13159.89631048555,6539145.0,86054470159.23003
Carbon Neutral,China,USA,Max,2020,13159.89631048555,70176.0,923508883.4846339
Carbon Neutral,China,USA,Max,2021,12606.972185857185,215211.0,2713159091.0905104
Carbon Neutral,China,USA,Max,2022,12055.558782880806,1181645.9999999988,14245402813.555958
Carbon Neutral,China,USA,Max,2023,11504.145379904428,1770527.0000000014,20368400007.046062
Carbon Neutral,China,USA,Max,2024,10952.73197692805,3157744.9999999986,34585934636.48465
Carbon Neutral,China,USA,Max,2025,10399.807852299682,5205072.000000001,54131748657.38522
Carbon Neutral,China,USA,Max,2026,9848.394449323305,5735496.000000001,56485426970.51603
Carbon Neutral,China,USA,Max,2027,9296.981046346926,7610523.000000001,70754888083.78735
Carbon Neutral,China,USA,Max,2028,8745.567643370548,8898990.999999994,77826727748.24567
Carbon Neutral,China,USA,Max,2029,8192.643518742181,9473034.000000006,77609190602.92436
Carbon Neutral,China,USA,Max,2030,7641.230115765803,9516036.999999996,72714228507.14163
Carbon Neutral,China,USA,Max,2031,7598.807893661392,9276955.0,70493798883.14153
Carbon Neutral,China,USA,Max,2032,7556.385671556981,8929400.999999998,67473997771.986565
Carbon Neutral,China,USA,Max,2033,7513.84722418653,8582177.999999998,64485174342.7747
Carbon Neutral,China,USA,Max,2034,7471.425002082118,8654024.000000007,64657891282.21876
Carbon Neutral,China,USA,Max,2035,7429.002779977707,8809382.0,65444923367.885574
Carbon Neutral,China,USA,Max,2036,7386.580557873296,9060164.999999998,66923638640.1241
Carbon Neutral,China,USA,Max,2037,7344.042110502845,8305363.0,60994935615.012245
Carbon Neutral,China,USA,Max,2038,7301.619888398434,7618468.999999991,55627164769.54687
Carbon Neutral,China,USA,Max,2039,7259.197666294023,6993367.0000000065,50766233405.93768
Carbon Neutral,China,USA,Max,2040,7216.775444189611,6424495.000000007,46364137757.31899
Carbon Neutral,China,USA,Max,2041,7174.236996819161,5906791.999999996,42376725698.91541
Carbon Neutral,China,USA,Max,2042,7131.81477471475,5435646.999999989,38766027584.733826
Carbon Neutral,China,USA,Max,2043,7089.3925526103385,5006871.000000018,35495673979.2808
Carbon Neutral,China,USA,Max,2044,7046.970330505927,4616647.0,32533374435.419197
Carbon Neutral,China,USA,Max,2045,7004.431883135477,4261502.999999977,29849407483.27732
Carbon Neutral,China,USA,Max,2046,6962.009661031066,3938281.0000000177,27418350369.85521
Carbon Neutral,China,USA,Max,2047,6919.587438926654,3644105.9999999935,25215710103.71721
Carbon Neutral,China,USA,Max,2048,6877.165216822243,3376360.0000000056,23219785551.469986
Carbon Neutral,China,USA,Max,2049,6834.626769451792,3132664.000000005,21410589234.09796
Carbon Neutral,China,USA,Max,2050,6792.204547347381,2910850.99999998,19771095398.850536
Carbon Neutral,China,USA,Min,2018,11037.332389439493,6539145.0,72174716907.74132
Carbon Neutral,China,USA,Min,2019,11037.332389439493,6539145.0,72174716907.74132
Carbon Neutral,China,USA,Min,2020,11037.332389439493,70176.0,774555837.7613058
Carbon Neutral,China,USA,Min,2021,10569.47351475395,215211.0,2274666964.5837126
Carbon Neutral,China,USA,Min,2022,10102.892943004708,1181645.9999999988,11938043034.52973
Carbon Neutral,China,USA,Min,2023,9636.312371255466,1770527.0000000014,17061351233.74184
Carbon Neutral,China,USA,Min,2024,9169.731799506222,3157744.9999999986,28955674741.231762
Carbon Neutral,China,USA,Min,2025,8701.87292482068,5205072.000000001,45293875108.54224
Carbon Neutral,China,USA,Min,2026,8235.29235307144,5735496.000000001,47233486349.87184
Carbon Neutral,China,USA,Min,2027,7768.711781322196,7610523.000000001,59123959692.12355
Carbon Neutral,China,USA,Min,2028,7302.131209572954,8898990.999999994,64981599914.808784
Carbon Neutral,China,USA,Min,2029,6834.272334887412,9473034.000000006,64741294193.64788
Carbon Neutral,China,USA,Min,2030,6367.691763138169,9516036.999999996,60595190422.618034
Carbon Neutral,China,USA,Min,2031,6282.847318929347,9276955.0,58285691849.5782
Carbon Neutral,China,USA,Min,2032,6198.002874720524,8929400.999999998,55344453067.53231
Carbon Neutral,China,USA,Min,2033,6112.925979979623,8582177.999999998,52462218861.009544
Carbon Neutral,China,USA,Min,2034,6028.081535770801,8654024.000000007,52167162284.51741
Carbon Neutral,China,USA,Min,2035,5943.237091561978,8809382.0,52356245856.138435
Carbon Neutral,China,USA,Min,2036,5858.392647353156,9060164.999999998,53078004019.80639
Carbon Neutral,China,USA,Min,2037,5773.315752612254,8305363.0,47949483039.062965
Carbon Neutral,China,USA,Min,2038,5688.471308403431,7618468.999999991,43337442320.46093
Carbon Neutral,China,USA,Min,2039,5603.626864194609,6993367.0000000065,39188219192.37209
Carbon Neutral,China,USA,Min,2040,5518.782419985786,6424495.000000007,35455390063.28662
Carbon Neutral,China,USA,Min,2041,5433.7055252448845,5906791.999999996,32095768326.87226
Carbon Neutral,China,USA,Min,2042,5348.861081036062,5435646.999999989,29074520688.55037
Carbon Neutral,China,USA,Min,2043,5264.016636827239,5006871.000000018,26356252242.44793
Carbon Neutral,China,USA,Min,2044,5179.172192618417,4616647.0,23910409765.53524
Carbon Neutral,China,USA,Min,2045,5094.095297877516,4261502.999999977,21708502394.190807
Carbon Neutral,China,USA,Min,2046,5009.250853668693,3938281.0000000177,19727837461.23728
Carbon Neutral,China,USA,Min,2047,4924.406409459871,3644105.9999999935,17945058943.15114
Carbon Neutral,China,USA,Min,2048,4839.561965251049,3376360.0000000056,16340103436.995058
Carbon Neutral,China,USA,Min,2049,4754.485070510147,3132664.000000005,14894204218.924623
Carbon Neutral,China,USA,Min,2050,4669.640626301324,2910850.99999998,13592628086.709742
Carbon Neutral,China,World,Max,2018,8440.314438555162,6539145.0,55192439959.30579
Carbon Neutral,China,World,Max,2019,8440.314438555162,6539145.0,55192439959.30579
Carbon Neutral,China,World,Max,2020,8440.314438555162,70176.0,592307506.040047
Carbon Neutral,China,World,Max,2021,8085.687520347013,215211.0,1740128896.941401
Carbon Neutral,China,World,Max,2022,7732.029528144896,1181645.9999999988,9136521763.814295
Carbon Neutral,China,World,Max,2023,7378.371535942781,1770527.0000000014,13063606020.418175
Carbon Neutral,China,World,Max,2024,7024.713543740664,3157744.9999999986,22182254069.17935
Carbon Neutral,China,World,Max,2025,6670.0866255325145,5205072.000000001,34718281132.13378
Carbon Neutral,China,World,Max,2026,6316.428633330399,5735496.000000001,36227851160.751976
Carbon Neutral,China,World,Max,2027,5962.7706411282825,7610523.000000001,45379803108.03155
Carbon Neutral,China,World,Max,2028,5609.112648926166,8898990.999999994,49915442980.78008
Carbon Neutral,China,World,Max,2029,5254.485730718017,9473034.000000006,49775921979.60665
Carbon Neutral,China,World,Max,2030,4900.827738515901,9516036.999999996,46636458090.34362
Carbon Neutral,China,World,Max,2031,4873.619553489537,9276955.0,45212349284.84253
Carbon Neutral,China,World,Max,2032,4846.411368463173,8929400.999999998,43275550519.966415
Carbon Neutral,China,World,Max,2033,4819.128640464134,8582177.999999998,41358619797.36119
Carbon Neutral,China,World,Max,2034,4791.920455437769,8654024.000000007,41469394627.449425
Carbon Neutral,China,World,Max,2035,4764.712270411405,8809382.0,41974170510.141365
Carbon Neutral,China,World,Max,2036,4737.504085385041,9060164.999999998,42922568701.76256
Carbon Neutral,China,World,Max,2037,4710.221357386003,8305363.0,39120098183.44348
Carbon Neutral,China,World,Max,2038,4683.013172359639,7618468.999999991,35677390680.213524
Carbon Neutral,China,World,Max,2039,4655.804987333275,6993367.0000000065,32559752956.85197
Carbon Neutral,China,World,Max,2040,4628.596802306911,6424495.000000007,29736397013.43677
Carbon Neutral,China,World,Max,2041,4601.314074307871,5906791.999999996,27179005163.609123
Carbon Neutral,China,World,Max,2042,4574.105889281507,5435646.999999989,24863224954.755306
Carbon Neutral,China,World,Max,2043,4546.897704255143,5006871.000000018,22765730255.401733
Carbon Neutral,China,World,Max,2044,4519.689519228779,4616647.0,20865811059.878986
Carbon Neutral,China,World,Max,2045,4492.4067912297405,4261502.999999977,19144405018.045807
Carbon Neutral,China,World,Max,2046,4465.198606203377,3938281.0000000177,17585206832.03732
Carbon Neutral,China,World,Max,2047,4437.990421177012,3644105.9999999935,16172507521.753647
Carbon Neutral,China,World,Max,2048,4410.782236150648,3376360.0000000056,14892388710.849627
Carbon Neutral,China,World,Max,2049,4383.499508151609,3132664.000000005,13732031103.204275
Carbon Neutral,China,World,Max,2050,4356.291323125245,2910850.99999998,12680514954.210356
Carbon Neutral,China,World,Min,2018,7078.973400078524,6539145.0,46290433514.25648
Carbon Neutral,China,World,Min,2019,7078.973400078524,6539145.0,46290433514.25648
Carbon Neutral,China,World,Min,2020,7078.973400078524,70176.0,496774037.3239105
Carbon Neutral,China,World,Min,2021,6778.904469287013,215211.0,1458894809.7397273
Carbon Neutral,China,World,Min,2022,6479.655398962145,1181645.9999999988,7656658883.562016
Carbon Neutral,China,World,Min,2023,6180.4063286372775,1770527.0000000014,10942576275.823181
Carbon Neutral,China,World,Min,2024,5881.15725831241,3157744.9999999986,18571194926.64971
Carbon Neutral,China,World,Min,2025,5581.088327520899,5205072.000000001,29049966583.105865
Carbon Neutral,China,World,Min,2026,5281.839257196031,5735496.000000001,30293967932.290813
Carbon Neutral,China,World,Min,2027,4982.590186871164,7610523.000000001,37920117216.7573
Carbon Neutral,China,World,Min,2028,4683.341116546297,8898990.999999994,41677010446.07542
Carbon Neutral,China,World,Min,2029,4383.272185754785,9473034.000000006,41522886446.90942
Carbon Neutral,China,World,Min,2030,4084.023115429917,9516036.999999996,38863715075.28635
Carbon Neutral,China,World,Min,2031,4029.606745377189,9276955.0,37382480444.56064
Carbon Neutral,China,World,Min,2032,3975.190375324461,8929400.999999998,35496068912.61261
Carbon Neutral,China,World,Min,2033,3920.624919326383,8582177.999999998,33647500928.89465
Carbon Neutral,China,World,Min,2034,3866.208549273655,8654024.000000007,33458261574.419422
Carbon Neutral,China,World,Min,2035,3811.792179220927,8809382.0,33579533411.36961
Carbon Neutral,China,World,Min,2036,3757.375809168199,9060164.999999998,34042444798.072388
Carbon Neutral,China,World,Min,2037,3702.810353170121,8305363.0,30753184103.236053
Carbon Neutral,China,World,Min,2038,3648.393983117393,7618468.999999991,27795176460.166348
Carbon Neutral,China,World,Min,2039,3593.9776130646646,6993367.0000000065,25134004437.945217
Carbon Neutral,China,World,Min,2040,3539.5612430119368,6424495.000000007,22739893507.924
Carbon Neutral,China,World,Min,2041,3484.9957870138587,5906791.999999996,20585145234.76715
Carbon Neutral,China,World,Min,2042,3430.5794169611304,5435646.999999989,18647418716.06648
Carbon Neutral,China,World,Min,2043,3376.1630469084025,5006871.000000018,16904012850.83738
Carbon Neutral,China,World,Min,2044,3321.746676855674,4616647.0,15335331830.465717
Carbon Neutral,China,World,Min,2045,3267.1812208575966,4261502.999999977,13923102574.228235
Carbon Neutral,China,World,Min,2046,3212.7648508048683,3938281.0000000177,12652770769.392704
Carbon Neutral,China,World,Min,2047,3158.3484807521404,3644105.9999999935,11509356648.799738
Carbon Neutral,China,World,Min,2048,3103.932110699412,3376360.0000000056,10479992221.281084
Carbon Neutral,China,World,Min,2049,3049.3666547013345,3132664.000000005,9552641141.983316
Carbon Neutral,China,World,Min,2050,2994.950284648606,2910850.99999998,8717854031.019619
Carbon Neutral,Northeast Asia,China,Max,2018,5946.805951935694,145683.0,866348531.4958477
Carbon Neutral,Northeast Asia,China,Max,2019,5946.805951935694,145683.0,866348531.4958477
Carbon Neutral,Northeast Asia,China,Max,2020,5946.805951935694,139619.0,830287100.2033097
Carbon Neutral,Northeast Asia,China,Max,2021,5696.945892423759,143378.9999999998,816822405.1098249
Carbon Neutral,Northeast Asia,China,Max,2022,5447.768510670054,164553.9999999999,896452099.5047996
Carbon Neutral,Northeast Asia,China,Max,2023,5198.591128916349,227372.9999999998,1182019260.755096
Carbon Neutral,Northeast Asia,China,Max,2024,4949.413747162643,403784.0,1998494080.4843206
Carbon Neutral,Northeast Asia,China,Max,2025,4699.5536876507085,782809.0,3678852922.6761637
Carbon Neutral,Northeast Asia,China,Max,2026,4450.376305897003,1380417.0,6143375109.057423
Carbon Neutral,Northeast Asia,China,Max,2027,4201.198924143297,2192583.0000000005,9211477340.694883
Carbon Neutral,Northeast Asia,China,Max,2028,3952.021542389592,2902510.0,11470782047.001215
Carbon Neutral,Northeast Asia,China,Max,2029,3702.161482877657,3313193.0,12265975509.939873
Carbon Neutral,Northeast Asia,China,Max,2030,3452.9841011239514,3433153.0,11854622725.725996
Carbon Neutral,Northeast Asia,China,Max,2031,3433.813986333317,3382131.0000000005,11613608731.41149
Carbon Neutral,Northeast Asia,China,Max,2032,3414.643871542683,3261995.0,11138551235.752874
Carbon Neutral,Northeast Asia,China,Max,2033,3395.421235889609,3130192.999999999,10628323784.633
Carbon Neutral,Northeast Asia,China,Max,2034,3376.251121098974,3018325.0,10190623165.09106
Carbon Neutral,Northeast Asia,China,Max,2035,3357.0810063083404,2935001.0000000005,9853036110.595987
Carbon Neutral,Northeast Asia,China,Max,2036,3337.9108915177067,2880018.000000001,9613243449.967047
Carbon Neutral,Northeast Asia,China,Max,2037,3318.688255864632,2675041.0,8877627150.656384
Carbon Neutral,Northeast Asia,China,Max,2038,3299.518141073998,2492038.9999999977,8222527888.763897
Carbon Neutral,Northeast Asia,China,Max,2039,3280.348026283364,2328523.0000000005,7638365827.20542
Carbon Neutral,Northeast Asia,China,Max,2040,3261.17791149273,2182370.0000000023,7117096838.704396
Carbon Neutral,Northeast Asia,China,Max,2041,3241.9552758396558,2051700.0000000002,6651519639.440223
Carbon Neutral,Northeast Asia,China,Max,2042,3222.7851610490216,1934815.9999999993,6235496294.160221
Carbon Neutral,Northeast Asia,China,Max,2043,3203.615046258388,1833868.9999999974,5875010321.266815
Carbon Neutral,Northeast Asia,China,Max,2044,3184.444931467753,1746867.9999999995,5562804948.54321
Carbon Neutral,Northeast Asia,China,Max,2045,3165.222295814679,1669110.9999999981,5283107351.389528
Carbon Neutral,Northeast Asia,China,Max,2046,3146.052181024045,1599488.0000000016,5032072710.921793
Carbon Neutral,Northeast Asia,China,Max,2047,3126.8820662334106,1536999.999999999,4806017735.80075
Carbon Neutral,Northeast Asia,China,Max,2048,3107.7119514427764,1480756.0000000014,4601763118.370604
Carbon Neutral,Northeast Asia,China,Max,2049,3088.4893157897022,1429960.9999999965,4416419270.495947
Carbon Neutral,Northeast Asia,China,Max,2050,3069.319200999068,1383896.0000000016,4247618564.985811
Carbon Neutral,Northeast Asia,China,Min,2018,4987.643701623485,145683.0,726614897.3836142
Carbon Neutral,Northeast Asia,China,Min,2019,4987.643701623485,145683.0,726614897.3836142
Carbon Neutral,Northeast Asia,China,Min,2020,4987.643701623485,139619.0,696369825.9769692
Carbon Neutral,Northeast Asia,China,Min,2021,4776.2236512672325,143378.9999999998,684810170.8950436
Carbon Neutral,Northeast Asia,China,Min,2022,4565.381251321789,164553.9999999999,751251746.4300052
Carbon Neutral,Northeast Asia,China,Min,2023,4354.538851376346,227372.9999999998,990104562.2539932
Carbon Neutral,Northeast Asia,China,Min,2024,4143.696451430904,403784.0,1673158327.9445763
Carbon Neutral,Northeast Asia,China,Min,2025,3932.276401074651,782809.0,3078221357.2488465
Carbon Neutral,Northeast Asia,China,Min,2026,3721.434001129208,1380417.0,5137130759.5367775
Carbon Neutral,Northeast Asia,China,Min,2027,3510.591601183765,2192583.0000000005,7697263464.698304
Carbon Neutral,Northeast Asia,China,Min,2028,3299.749201238322,2902510.0,9577555054.08624
Carbon Neutral,Northeast Asia,China,Min,2029,3088.3291508820694,3313193.0,10232230524.398415
Carbon Neutral,Northeast Asia,China,Min,2030,2877.4867509366263,3433153.0,9878852271.438332
Carbon Neutral,Northeast Asia,China,Min,2031,2839.146521355358,3382131.0000000005,9602365463.418118
Carbon Neutral,Northeast Asia,China,Min,2032,2800.80629177409,3261995.0,9136216119.735622
Carbon Neutral,Northeast Asia,China,Min,2033,2762.361020467941,3130192.999999999,8646723129.741604
Carbon Neutral,Northeast Asia,China,Min,2034,2724.020790886673,3018325.0,8221980053.653016
Carbon Neutral,Northeast Asia,China,Min,2035,2685.6805613054044,2935001.0000000005,7882475133.111925
Carbon Neutral,Northeast Asia,China,Min,2036,2647.3403317241364,2880018.000000001,7624387807.4914875
Carbon Neutral,Northeast Asia,China,Min,2037,2608.895060417988,2675041.0,6978901251.315596
Carbon Neutral,Northeast Asia,China,Min,2038,2570.5548308367192,2492038.9999999977,6405922890.083501
Carbon Neutral,Northeast Asia,China,Min,2039,2532.2146012554517,2328523.0000000005,5896319939.959149
Carbon Neutral,Northeast Asia,China,Min,2040,2493.874371674183,2182370.0000000023,5442556612.5105915
Carbon Neutral,Northeast Asia,China,Min,2041,2455.429100368034,2051700.0000000002,5037803885.225096
Carbon Neutral,Northeast Asia,China,Min,2042,2417.088870786766,1934815.9999999993,4676622220.620166
Carbon Neutral,Northeast Asia,China,Min,2043,2378.7486412054977,1833868.9999999974,4362313391.898879
Carbon Neutral,Northeast Asia,China,Min,2044,2340.4084116242293,1746867.9999999995,4088384561.197193
Carbon Neutral,Northeast Asia,China,Min,2045,2301.963140318081,1669110.9999999981,3842231999.099448
Carbon Neutral,Northeast Asia,China,Min,2046,2263.6229107368126,1599488.0000000016,3620637682.2486067
Carbon Neutral,Northeast Asia,China,Min,2047,2225.282681155544,1536999.999999999,3420259480.93607
Carbon Neutral,Northeast Asia,China,Min,2048,2186.942451574276,1480756.0000000014,3238328156.8233213
Carbon Neutral,Northeast Asia,China,Min,2049,2148.4971802681275,1429960.9999999965,3072267176.393384
Carbon Neutral,Northeast Asia,China,Min,2050,2110.156950686859,1383896.0000000016,2920237763.427745
Carbon Neutral,Northeast Asia,USA,Max,2018,13159.89631048555,145683.0,1917173174.2004664
Carbon Neutral,Northeast Asia,USA,Max,2019,13159.89631048555,145683.0,1917173174.2004664
Carbon Neutral,Northeast Asia,USA,Max,2020,13159.89631048555,139619.0,1837371562.973682
Carbon Neutral,Northeast Asia,USA,Max,2021,12606.972185857185,143378.9999999998,1807575065.036015
Carbon Neutral,Northeast Asia,USA,Max,2022,12055.558782880806,164553.9999999999,1983790419.958167
Carbon Neutral,Northeast Asia,USA,Max,2023,11504.145379904428,227372.9999999998,2615732047.4650073
Carbon Neutral,Northeast Asia,USA,Max,2024,10952.73197692805,403784.0,4422537928.571916
Carbon Neutral,Northeast Asia,USA,Max,2025,10399.807852299682,782809.0,8141063185.050861
Carbon Neutral,Northeast Asia,USA,Max,2026,9848.394449323305,1380417.0,13594891120.551527
Carbon Neutral,Northeast Asia,USA,Max,2027,9296.981046346926,2192583.0000000005,20384402593.54249
Carbon Neutral,Northeast Asia,USA,Max,2028,8745.567643370548,2902510.0,25384097540.55945
Carbon Neutral,Northeast Asia,USA,Max,2029,8192.643518742181,3313193.0,27143809157.791965
Carbon Neutral,Northeast Asia,USA,Max,2030,7641.230115765803,3433153.0,26233512095.631714
Carbon Neutral,Northeast Asia,USA,Max,2031,7598.807893661392,3382131.0000000005,25700163740.1969
Carbon Neutral,Northeast Asia,USA,Max,2032,7556.385671556981,3261995.0,24648892278.690514
Carbon Neutral,Northeast Asia,USA,Max,2033,7513.84722418653,3130192.999999999,23519791984.218098
Carbon Neutral,Northeast Asia,USA,Max,2034,7471.425002082118,3018325.0,22551188869.409508
Carbon Neutral,Northeast Asia,USA,Max,2035,7429.002779977707,2935001.0000000005,21804130588.237354
Carbon Neutral,Northeast Asia,USA,Max,2036,7386.580557873296,2880018.000000001,21273484965.125145
Carbon Neutral,Northeast Asia,USA,Max,2037,7344.042110502845,2675041.0,19645613751.321644
Carbon Neutral,Northeast Asia,USA,Max,2038,7301.619888398434,2492038.9999999977,18195921525.06453
Carbon Neutral,Northeast Asia,USA,Max,2039,7259.197666294023,2328523.0000000005,16903208727.511963
Carbon Neutral,Northeast Asia,USA,Max,2040,7216.775444189611,2182370.0000000023,15749674226.136097
Carbon Neutral,Northeast Asia,USA,Max,2041,7174.236996819161,2051700.0000000002,14719382046.373875
Carbon Neutral,Northeast Asia,USA,Max,2042,7131.81477471475,1934815.9999999993,13798749335.154488
Carbon Neutral,Northeast Asia,USA,Max,2043,7089.3925526103385,1833868.9999999974,13001017231.06295
Carbon Neutral,Northeast Asia,USA,Max,2044,7046.970330505927,1746867.9999999995,12310126967.310226
Carbon Neutral,Northeast Asia,USA,Max,2045,7004.431883135477,1669110.9999999981,11691174304.892126
Carbon Neutral,Northeast Asia,USA,Max,2046,6962.009661031066,1599488.0000000016,11135650908.70327
Carbon Neutral,Northeast Asia,USA,Max,2047,6919.587438926654,1536999.999999999,10635405893.63026
Carbon Neutral,Northeast Asia,USA,Max,2048,6877.165216822243,1480756.0000000014,10183403657.800844
Carbon Neutral,Northeast Asia,USA,Max,2049,6834.626769451792,1429960.9999999965,9773249729.872028
Carbon Neutral,Northeast Asia,USA,Max,2050,6792.204547347381,1383896.0000000016,9399704704.255861
Carbon Neutral,Northeast Asia,USA,Min,2018,11037.332389439493,145683.0,1607951694.4907136
Carbon Neutral,Northeast Asia,USA,Min,2019,11037.332389439493,145683.0,1607951694.4907136
Carbon Neutral,Northeast Asia,USA,Min,2020,11037.332389439493,139619.0,1541021310.8811526
Carbon Neutral,Northeast Asia,USA,Min,2021,10569.47351475395,143378.9999999998,1515440543.0719047
Carbon Neutral,Northeast Asia,USA,Min,2022,10102.892943004708,164553.9999999999,1662471445.343196
Carbon Neutral,Northeast Asia,USA,Min,2023,9636.312371255466,227372.9999999998,2191037252.7894673
Carbon Neutral,Northeast Asia,USA,Min,2024,9169.731799506222,403784.0,3702590984.9318204
Carbon Neutral,Northeast Asia,USA,Min,2025,8701.87292482068,782809.0,6811904442.405952
Carbon Neutral,Northeast Asia,USA,Min,2026,8235.29235307144,1380417.0,11368137564.149817
