Year,Economy,Region,Scenario,Value,Sales,Unit
2019,07_INA,Southeast Asia,Reference,0.019525,0.014012,Million
2019,08_JPN,Northeast Asia,Carbon Neutral,0.135818,0.085545,Million
2019,08_JPN,Northeast Asia,Reference,0.34654,0.296267,Million
2019,09_ROK,Northeast Asia,Carbon Neutral,0.057854,0.048911,Million
2019,05_PRC,China,Reference,11.079824,6.539145,Million
2019,10_MAS,Southeast Asia,Carbon Neutral,0.002094,0.001634,Million
2020,15_RP,Southeast Asia,Reference,0.002048,0.0008619999999999999,Million
2020,15_RP,Southeast Asia,Carbon Neutral,0.002048,0.0008619999999999999,Million
2020,14_PE,Other Americas,Reference,0.005368,0.0020000000000000005,Million
2020,12_NZ,Oceania,Reference,0.021997,0.009547,Million
2020,13_PNG,Oceania,Reference,0.0,0.0,Million
2020,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2020,16_RUS,Russia,Carbon Neutral,0.014143,0.00515,Million
2020,14_PE,Other Americas,Carbon Neutral,0.005368,0.0020000000000000005,Million
2020,16_RUS,Russia,Reference,0.014143,0.00515,Million
2020,21_VN,Southeast Asia,Reference,0.002694,0.0007460000000000001,Million
2020,17_SIN,Southeast Asia,Reference,0.00644,0.0031730000000000005,Million
2020,18_CT,Northeast Asia,Carbon Neutral,0.021655,0.009499,Million
2020,18_CT,Northeast Asia,Reference,0.021655,0.009499,Million
2020,19_THA,Southeast Asia,Carbon Neutral,0.073704,0.018262000000000007,Million
2020,19_THA,Southeast Asia,Reference,0.073704,0.018262000000000007,Million
2020,20_USA,USA,Carbon Neutral,0.936428,0.25215200000000004,Million
2020,20_USA,USA,Reference,0.946407,0.25813200000000003,Million
2020,21_VN,Southeast Asia,Carbon Neutral,0.002694,0.0007460000000000001,Million
2020,12_NZ,Oceania,Carbon Neutral,0.021997,0.009547,Million
2020,17_SIN,Southeast Asia,Carbon Neutral,0.00644,0.0031730000000000005,Million
2020,11_MEX,Other Americas,Reference,0.05128,0.020706,Million
2020,06_HKC,Northeast Asia,Carbon Neutral,0.004229,7.799999999999994e-05,Million
2020,10_MAS,Southeast Asia,Reference,0.003703,0.0016090000000000002,Million
2020,01_AUS,Oceania,Reference,0.039447,0.018660000000000003,Million
2020,02_BD,Southeast Asia,Carbon Neutral,0.000276,9.499999999999998e-05,Million
2020,02_BD,Southeast Asia,Reference,0.000276,9.499999999999998e-05,Million
2020,03_CDA,Other Americas,Carbon Neutral,0.071887,0.033088000000000006,Million
2020,03_CDA,Other Americas,Reference,0.071887,0.033088000000000006,Million
2020,04_CHL,Other Americas,Carbon Neutral,0.000785,0.000316,Million
2020,04_CHL,Other Americas,Reference,0.008484,0.00351,Million
2020,05_PRC,China,Carbon Neutral,11.15,0.07017600000000002,Million
2020,05_PRC,China,Reference,11.15,0.07017600000000002,Million
2020,01_AUS,Oceania,Carbon Neutral,0.039447,0.018660000000000003,Million
2020,06_HKC,Northeast Asia,Reference,0.005744,0.000693,Million
2020,10_MAS,Southeast Asia,Carbon Neutral,0.003703,0.0016090000000000002,Million
2020,09_ROK,Northeast Asia,Reference,0.090894,0.037559,Million
2020,09_ROK,Northeast Asia,Carbon Neutral,0.100328,0.042474,Million
2020,11_MEX,Other Americas,Carbon Neutral,0.05128,0.020706,Million
2020,08_JPN,Northeast Asia,Carbon Neutral,0.223386,0.08756800000000001,Million
2020,07_INA,Southeast Asia,Reference,0.027725,0.008199999999999999,Million
2020,07_INA,Southeast Asia,Carbon Neutral,0.027725,0.008199999999999999,Million
2020,08_JPN,Northeast Asia,Reference,0.617429,0.270889,Million
2021,12_NZ,Oceania,Reference,0.031279,0.009282000000000002,Million
2021,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2021,13_PNG,Oceania,Reference,0.0,0.0,Million
2021,14_PE,Other Americas,Carbon Neutral,0.007388,0.0020199999999999992,Million
2021,14_PE,Other Americas,Reference,0.007483,0.0021149999999999997,Million
2021,15_RP,Southeast Asia,Carbon Neutral,0.002962,0.0009139999999999999,Million
2021,15_RP,Southeast Asia,Reference,0.002962,0.0009139999999999999,Million
2021,16_RUS,Russia,Carbon Neutral,0.020076,0.005933000000000001,Million
2021,16_RUS,Russia,Reference,0.020076,0.005933000000000001,Million
2021,17_SIN,Southeast Asia,Reference,0.009756,0.0033160000000000004,Million
2021,18_CT,Northeast Asia,Carbon Neutral,0.031331,0.009675999999999997,Million
2021,21_VN,Southeast Asia,Reference,0.003581,0.0008869999999999998,Million
2021,19_THA,Southeast Asia,Carbon Neutral,0.092061,0.018357,Million
2021,19_THA,Southeast Asia,Reference,0.092061,0.018357,Million
2021,20_USA,USA,Carbon Neutral,1.183377,0.24694899999999986,Million
2021,20_USA,USA,Reference,1.202478,0.25607099999999994,Million
2021,21_VN,Southeast Asia,Carbon Neutral,0.003581,0.0008869999999999998,Million
2021,12_NZ,Oceania,Carbon Neutral,0.031279,0.009282000000000002,Million
2021,17_SIN,Southeast Asia,Carbon Neutral,0.009756,0.0033160000000000004,Million
2021,18_CT,Northeast Asia,Reference,0.031331,0.009675999999999997,Million
2021,11_MEX,Other Americas,Reference,0.073353,0.022073000000000002,Million
2021,10_MAS,Southeast Asia,Reference,0.005638,0.0019349999999999997,Million
2021,11_MEX,Other Americas,Carbon Neutral,0.073353,0.022073000000000002,Million
2021,01_AUS,Oceania,Carbon Neutral,0.058506,0.019059,Million
2021,01_AUS,Oceania,Reference,0.058506,0.019059,Million
2021,02_BD,Southeast Asia,Carbon Neutral,0.000384,0.00010800000000000002,Million
2021,02_BD,Southeast Asia,Reference,0.000384,0.00010800000000000002,Million
2021,03_CDA,Other Americas,Carbon Neutral,0.104381,0.032493999999999995,Million
2021,04_CHL,Other Americas,Carbon Neutral,0.001152,0.00036700000000000003,Million
2021,04_CHL,Other Americas,Reference,0.012216,0.003731999999999999,Million
2021,05_PRC,China,Carbon Neutral,11.365211,0.21521100000000004,Million
2021,03_CDA,Other Americas,Reference,0.104381,0.032493999999999995,Million
2021,06_HKC,Northeast Asia,Carbon Neutral,0.004379,0.00014999999999999996,Million
2021,05_PRC,China,Reference,11.365211,0.21521100000000004,Million
2021,09_ROK,Northeast Asia,Reference,0.128539,0.037644999999999984,Million
2021,09_ROK,Northeast Asia,Carbon Neutral,0.142912,0.04258400000000001,Million
2021,08_JPN,Northeast Asia,Reference,0.866315,0.24888599999999994,Million
2021,10_MAS,Southeast Asia,Carbon Neutral,0.005638,0.0019349999999999997,Million
2021,07_INA,Southeast Asia,Reference,0.036177,0.008452000000000001,Million
2021,07_INA,Southeast Asia,Carbon Neutral,0.036177,0.008452000000000001,Million
2021,06_HKC,Northeast Asia,Reference,0.00653,0.0007860000000000002,Million
2021,08_JPN,Northeast Asia,Carbon Neutral,0.314355,0.090969,Million
2022,16_RUS,Russia,Carbon Neutral,0.032337,0.012260999999999998,Million
2022,12_NZ,Oceania,Reference,0.041054,0.009774999999999999,Million
2022,13_PNG,Oceania,Carbon Neutral,0.0,0.0,Million
2022,13_PNG,Oceania,Reference,0.0,0.0,Million
2022,14_PE,Other Americas,Carbon Neutral,0.011073,0.003685,Million
2022,14_PE,Other Americas,Reference,0.011203,0.0037199999999999993,Million
2022,15_RP,Southeast Asia,Carbon Neutral,0.004263,0.0013010000000000005,Million
2022,15_RP,Southeast Asia,Reference,0.004254,0.0012920000000000002,Million
2022,16_RUS,Russia,Reference,0.032096,0.01202,Million
2022,12_NZ,Oceania,Carbon Neutral,0.041054,0.009774999999999999,Million
2022,17_SIN,Southeast Asia,Reference,0.013436,0.0036799999999999992,Million
2022,18_CT,Northeast Asia,Carbon Neutral,0.043403,0.012072,Million
2022,18_CT,Northeast Asia,Reference,0.043265,0.011934,Million
2022,19_THA,Southeast Asia,Carbon Neutral,0.132434,0.04037299999999999,Million
2022,19_THA,Southeast Asia,Reference,0.13158,0.039519,Million
2022,20_USA,USA,Carbon Neutral,1.470468,0.2870910000000002,Million
2022,20_USA,USA,Reference,1.49905,0.29657200000000006,Million
2022,21_VN,Southeast Asia,Carbon Neutral,0.006045,0.002464,Million
2022,21_VN,Southeast Asia,Reference,0.006005,0.002424,Million
2022,17_SIN,Southeast Asia,Carbon Neutral,0.013436,0.0036799999999999992,Million
2022,11_MEX,Other Americas,Reference,0.105246,0.031893000000000005,Million
2022,06_HKC,Northeast Asia,Carbon Neutral,0.004882,0.000503,Million
2022,10_MAS,Southeast Asia,Reference,0.010451,0.0048130000000000004,Million
2022,01_AUS,Oceania,Carbon Neutral,0.080062,0.021555999999999992,Million
2022,01_AUS,Oceania,Reference,0.07998,0.021473999999999993,Million
2022,02_BD,Southeast Asia,Carbon Neutral,0.000613,0.00022900000000000004,Million
2022,02_BD,Southeast Asia,Reference,0.000609,0.00022499999999999994,Million
2022,03_CDA,Other Americas,Carbon Neutral,0.138046,0.033665,Million
2022,03_CDA,Other Americas,Reference,0.138046,0.033665,Million
2022,04_CHL,Other Americas,Carbon Neutral,0.001802,0.00065,Million
2022,04_CHL,Other Americas,Reference,0.017974,0.005758000000000001,Million
2022,05_PRC,China,Carbon Neutral,12.546857,1.1816459999999989,Million
2022,11_MEX,Other Americas,Carbon Neutral,0.105611,0.032257999999999995,Million
2022,10_MAS,Southeast Asia,Carbon Neutral,0.010524,0.004886000000000001,Million
