Year,Economy,Region,Scenario,Sales,Battery_cost_measure,Battery_cost,Total_cost,Battery_cost_Region,Battery_cost_Measure
2018,16_RUS,Russia,Reference,6159.9999999999,China_Max,5946.805951935694,36632324.66392328,China,Max
2018,10_MAS,Southeast Asia,Reference,1634.0,China_Max,5946.805951935694,9717080.925462924,China,Max
2018,11_MEX,Other Americas,Carbon Neutral,22972.0,China_Max,5946.805951935694,136610026.32786676,China,Max
2018,01_AUS,Oceania,Reference,20361.0,China_Max,5946.805951935694,121082915.98736267,China,Max
2018,02_BD,Southeast Asia,Carbon Neutral,101.0,China_Max,5946.805951935694,600627.4011455051,China,Max
2018,02_BD,Southeast Asia,Reference,101.0,China_Max,5946.805951935694,600627.4011455051,China,Max
2018,03_CDA,Other Americas,Carbon Neutral,33891.0,China_Max,5946.805951935694,201543200.5170526,China,Max
2018,03_CDA,Other Americas,Reference,33891.0,China_Max,5946.805951935694,201543200.5170526,China,Max
2018,04_CHL,Other Americas,Reference,3536.0,China_Max,5946.805951935694,21027905.846044615,China,Max
2018,05_PRC,China,Carbon Neutral,6539145.0,China_Max,5946.805951935694,38887026406.57053,China,Max
2018,05_PRC,China,Reference,6539145.0,China_Max,5946.805951935694,38887026406.57053,China,Max
2018,04_CHL,Other Americas,Carbon Neutral,294.0,China_Max,5946.805951935694,1748360.949869094,China,Max
2018,09_ROK,Northeast Asia,Reference,44942.0,China_Max,5946.805951935694,267261353.09189394,China,Max
2018,06_HKC,Northeast Asia,Reference,611.9999999999,China_Max,5946.805951935694,3639445.2425840497,China,Max
2018,07_INA,Southeast Asia,Carbon Neutral,14012.0,China_Max,5946.805951935694,83326644.99852294,China,Max
2018,07_INA,Southeast Asia,Reference,14012.0,China_Max,5946.805951935694,83326644.99852294,China,Max
2018,08_JPN,Northeast Asia,Carbon Neutral,85545.0,China_Max,5946.805951935694,508719515.1583389,China,Max
2018,08_JPN,Northeast Asia,Reference,296267.0,China_Max,5946.805951935694,1761842358.9621322,China,Max
2018,09_ROK,Northeast Asia,Carbon Neutral,48911.0,China_Max,5946.805951935694,290864225.91512674,China,Max
2018,06_HKC,Northeast Asia,Carbon Neutral,11.000000000000593,China_Max,5946.805951935694,65414.86547129616,China,Max
2018,10_MAS,Southeast Asia,Carbon Neutral,1634.0,China_Max,5946.805951935694,9717080.925462924,China,Max
2019,15_RP,Southeast Asia,Reference,990.0,China_Max,5946.805951935694,5887337.892416337,China,Max
2019,15_RP,Southeast Asia,Carbon Neutral,990.0,China_Max,5946.805951935694,5887337.892416337,China,Max
2019,14_PE,Other Americas,Reference,2519.0,China_Max,5946.805951935694,14980004.192926012,China,Max
2019,12_NZ,Oceania,Reference,10797.9999999999,China_Max,5946.805951935694,64213610.66900103,China,Max
2019,13_PNG,Oceania,Reference,0.0,China_Max,5946.805951935694,0.0,China,Max
2019,13_PNG,Oceania,Carbon Neutral,0.0,China_Max,5946.805951935694,0.0,China,Max
2019,16_RUS,Russia,Carbon Neutral,6159.9999999999,China_Max,5946.805951935694,36632324.66392328,China,Max
